"OBJECTID","Num_Cases","xcoord","ycoord","Label","Address","City","Region","Postal","CountryCode"
"129","5","-0.136376144923242","51.513105955106099","Broad Street","47 Lexington Street","London","England","W1F 0","GBR"
"130","2","-0.136456550598113","51.5145195376126","Broad Street","14 D'Arblay Street","London","England","W1F 8","GBR"
"131","1","-0.136320554399632","51.515336844567301","Berners Street","48 Berwick Street","London","England","W1F 8","GBR"
"132","2","-0.136425429139033","51.513297811754498","Broad Street","33 Broadwick Street","London","England","W1F 0","GBR"
"133","1","-0.136374458086194","51.512492257853403","Broad Street","24 Great Pulteney Street","London","England","W1F 9","GBR"
"134","1","-0.136327573950274","51.512884545503901","Broad Street","41 Lexington Street","London","England","W1F 0","GBR"
"135","1","-0.13601869206478","51.512175773846899","Bridle Street","9 Great Pulteney Street","London","England","W1F 9","GBR"
"136","2","-0.136425429139033","51.513297811754498","Broad Street","33 Broadwick Street","London","England","W1F 0","GBR"
"137","1","-0.13628207441065","51.512378518139499","Bridle Street","25 Great Pulteney Street","London","England","W1F 9","GBR"
"138","1","-0.136194929670552","51.5142421020266","Broad Street","3 Portland Mews","London","England","W1F 8","GBR"
"139","2","-0.136287364868338","51.5129994331866","Broad Street","43 Lexington Street","London","England","W1F 0","GBR"
"140","1","-0.136400344290206","51.512792786890401","Broad Street","52 Beak Street","London","England","W1F 9","GBR"
"141","1","-0.13601869206478","51.512175773846899","Bridle Street","9 Great Pulteney Street","London","England","W1F 9","GBR"
"142","1","-0.136260435243138","51.514579133422401","Broad Street","12 D'Arblay Street","London","England","W1F 8","GBR"
"143","1","-0.136295976748825","51.513424196698999","Broad Street","33 Broadwick Street","London","England","W1F 0","GBR"
"144","1","-0.13628207441065","51.512378518139499","Bridle Street","25 Great Pulteney Street","London","England","W1F 9","GBR"
"145","1","-0.136210842283151","51.513026592496502","Broad Street","40 Lexington Street","London","England","W1F 0","GBR"
"146","2","-0.136160099435212","51.514292457024801","Broad Street","11 Portland Mews","London","England","W1F 8","GBR"
"147","1","-0.136165747983893","51.514546898020598","Broad Street","25 D'Arblay Street","London","England","W1F 8","GBR"
"148","3","-0.136210842283151","51.513026592496502","Broad Street","40 Lexington Street","London","England","W1F 0","GBR"
"149","2","-0.136254308728358","51.513436216729502","Broad Street","33 Broadwick Street","London","England","W1F 0","GBR"
